date,regime,prob_0,prob_1,prob_2,prob_3,prob_4,confidence
2022-03-18,3,6.799597111652311e-25,4.461397180099692e-34,7.000952822858035e-68,0.9999990564021541,9.435978445528962e-07,0.9999990564021541
2022-03-21,3,5.325127098396838e-28,8.45320953715534e-37,1.8568104062837305e-70,0.9999971705508902,2.829449108560504e-06,0.9999971705508902
2022-03-22,3,7.200512344763354e-28,5.7880583038462656e-36,4.1927738833247334e-71,0.9999978378830289,2.16211697040883e-06,0.9999978378830289
2022-03-23,3,1.077084760852231e-28,1.3362435650759267e-37,5.419352449154212e-71,0.999996727289355,3.272710643461976e-06,0.999996727289355
2022-03-24,3,2.714639207221541e-28,1.9323548993600736e-36,2.2446424239361776e-71,0.9999948874362184,5.112563782751931e-06,0.9999948874362184
2022-03-25,3,1.1589154853957268e-27,6.38622852936572e-35,1.3061399454847328e-69,0.9999967588935,3.2411064999307115e-06,0.9999967588935
2022-03-28,3,2.816037009934619e-26,8.34437165934063e-33,1.8747650762877693e-71,0.9999989203230764,1.0796769239724386e-06,0.9999989203230764
2022-03-29,3,1.3003177375692982e-21,2.828481402670793e-28,1.8835869596231973e-66,0.9999973543739744,2.6456260259582877e-06,0.9999973543739744
2022-03-30,3,7.28582207551088e-19,1.495199478837799e-25,7.121068870522916e-60,0.9999990689659093,9.310340904141823e-07,0.9999990689659093
2022-03-31,3,4.743816800595311e-19,9.40302359152009e-26,8.278358246396993e-62,0.9999981629458271,1.837054173055384e-06,0.9999981629458271
2022-04-01,3,2.3854484708422454e-14,2.0403035779147484e-20,2.9537673751759805e-51,0.9999794374981883,2.0562501787513403e-05,0.9999794374981883
2022-04-04,3,2.1178153788346272e-13,5.670093270018668e-20,2.3726255670179908e-49,0.9999085218935376,9.147810625123233e-05,0.9999085218935376
2022-04-05,3,4.4803987994645606e-13,2.3406905177151106e-18,1.6723435901068798e-54,0.9999665696712365,3.343032831580736e-05,0.9999665696712365
